AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
14.8,19.4,10.6,1023.2,49,0,16.1,11.5,20.6,nan,nan,nan,nan,6.008333333333333
17,24.4,10.6,1020.5,67,0,12.2,14.3,18.3,nan,nan,nan,nan,6.425000000000002
17.1,21.7,11.1,1025.0,67,0,15,9.3,18.3,nan,nan,nan,nan,18.7
16.3,21,13,1025.5,77,0,7.4,7.8,14.8,nan,nan,nan,1,5.75
15.3,17,13,1020.7,85,0,5.8,8.9,14.8,nan,nan,nan,1,6.6
9.2,13.9,3.9,1017.3,57,0,16.1,28.2,37,50,nan,nan,nan,7.550000000000002
10.2,14.4,6.7,1018.3,58,0,16.1,24.4,37,63,nan,nan,nan,4.442857142857143
12,17.2,7.2,1018.0,46,0,16.1,23.5,35.2,50,nan,nan,nan,6.25
14.2,19.4,8.9,1018.5,46,0,16.1,10.2,16.5,nan,nan,nan,nan,15.8
9.6,14.4,5.6,1017.4,63,0,16.1,13.1,16.5,nan,nan,nan,nan,16.915384615384614
11,16,7,1017.3,69,0,15.8,10.6,16.5,nan,nan,nan,nan,12.75
13.4,16.7,7.2,1014.2,76,0,15.4,11.1,20.6,nan,nan,nan,nan,22.85
7.9,11,6,1017.8,80,0,15.6,13.5,20.6,nan,nan,nan,nan,7.238461538461538
11.7,13.3,6.1,1011.9,95,3.05,11.4,12.6,29.4,44.3,nan,nan,nan,12.15
6.3,9.4,3,1009.0,65,9.4,16.1,28.2,37,44.3,nan,nan,nan,17.4
4.2,6,2,1018.9,56,0,16.1,15.7,25.9,31.3,nan,nan,nan,20.80769230769231
3.9,7.2,1.1,1015.3,63,nan,14.6,13.7,31.3,38.9,nan,nan,nan,11.65
2.6,7.2,0,1012.5,66,1.52,15.9,24.6,35.2,51.9,nan,nan,nan,7.5
1.4,5,-3.3,1030.8,63,0,16.1,12.2,18.3,nan,nan,nan,nan,20.571428571428573
7.6,13,3,1016.4,95,8.89,9.5,24.8,44.3,55.4,nan,nan,nan,8.3
9.7,18.3,5,1004.5,84,17.02,14.3,20.4,33.5,40.7,nan,nan,nan,17.75
3.2,6.7,1.7,1021.3,56,0,16.1,23.7,38.9,nan,nan,nan,nan,39.9076923076923
0.3,5.6,-2.2,1028.2,48,8.64,16.1,19.8,25.9,31.3,nan,nan,nan,11.8
-1.8,2.2,-5,1034.0,51,0,16.1,14.4,24.1,nan,nan,nan,nan,14.05
-0.7,1.7,-3.3,1012.1,43,0,16.1,23.7,35.2,46.5,nan,nan,nan,8.02142857142857
-1.4,0,-2,1016.2,62,0.76,13.7,13.3,22.2,33.5,1,nan,nan,15.2
-0.3,2,-2,1025.4,65,0.25,15.6,13.1,22.2,33.5,nan,nan,nan,29.9
-2.6,1.1,-6,1035.0,47,0,16.1,19.1,37,nan,nan,nan,nan,16.015384615384615
2.9,10.6,-5.6,1025.6,72,16.51,11.9,18.1,35.2,42.4,1,nan,nan,25.85
3.1,10.6,-1.1,1030.5,58,9.91,16.1,19.6,33.5,44.3,nan,nan,nan,7.65
1.1,5.6,-2.8,1014.8,57,0,16.1,12.8,24.1,33.5,nan,nan,nan,15.300000000000002
0.9,5.6,-1.7,1009.0,64,3.3,13.5,25.9,38.9,51.9,1,nan,1,17.85
-2,2.8,-4.4,1024.4,56,0,16.1,15,25.9,35.2,nan,nan,nan,9.35
